text_id,text,topic,initial_paragraph,is_noise_or_spam_text,related_to_election_2024,toxicity,polarized,profanity_obscenity,threat_incitement_to_violence,insults,identity_attack,sexually_explicit,clean_text_bert,clean_text_tfidf,clean_text
2-12153,China Harap Komunitas Internasional Aktif Damaikan Israel-Palestina ://,"Tionghoa, Jewish",,0,0,0,0,0,0,0,0,0,China Harap Komunitas Internasional Aktif Damaikan Israel-Palestina ://,china harap komunitas internasional aktif damaikan israelpalestina,china harap komunitas internasional aktif damaikan israelpalestina
2-6728,"Siapa yang kalo liat postingan tentang palestine pasti menitih kan air mata 😭😭😭
betapa hebat nya mental mereka di sana bertahan dengan kekuatan doa dan ke ikhlasan yang lapang keadaan apapun hanya berusaha untuk bisa tetap selamat dari serangan ganas nya israel 
ini bukan soal agama tapi soal ke manusiaan kepedulian kita apa lagi kita yang sesama muslim mari kita kirimkan doa doa terbaik kita untuk mereka di sana agar slalu dalam Lindungan Allah 🤲🏻

#freepalestine🇵🇸 
#freepalestine 
#palestine 
#prayforpalestine Siapa yang kalo liat postingan tentang palestine pasti menitih kan air mata 😭😭😭
betapa hebat nya mental mereka di sana bertahan dengan kekuatan doa dan ke ikhlasan yang lapang keadaan apapun hanya berusaha untuk bisa tetap selamat dari serangan ganas nya israel 
ini bukan soal agama tapi soal ke manusiaan kepedulian kita apa lagi kita yang sesama muslim mari kita kirimkan doa doa terbaik kita untuk mereka di sana agar slalu dalam Lindungan Allah 🤲🏻

#freepalestine🇵🇸 
#freepalestine 
#palestine 
#prayforpalestine",Jewish,,0,0,0,0,0,0,0,0,0,Siapa yang kalo liat postingan tentang palestine pasti menitih kan air mata betapa hebat nya mental mereka di sana bertahan dengan kekuatan doa dan ke ikhlasan yang lapang keadaan apapun hanya berusaha untuk bisa tetap selamat dari serangan ganas nya israel ini bukan soal agama tapi soal ke manusiaan kepedulian kita apa lagi kita yang sesama muslim mari kita kirimkan doa doa terbaik kita untuk mereka di sana agar slalu dalam Lindungan Allah Siapa yang kalo liat postingan tentang palestine pasti menitih kan air mata betapa hebat nya mental mereka di sana bertahan dengan kekuatan doa dan ke ikhlasan yang lapang keadaan apapun hanya berusaha untuk bisa tetap selamat dari serangan ganas nya israel ini bukan soal agama tapi soal ke manusiaan kepedulian kita apa lagi kita yang sesama muslim mari kita kirimkan doa doa terbaik kita untuk mereka di sana agar slalu dalam Lindungan Allah,liat postingan palestine menitih air mata betapa hebat mental bertahan kekuatan doa ikhlasan lapang apapun berusaha selamat serangan ganas israel bukan agama manusiaan kepedulian muslim mari kirimkan doa doa terbaik slalu lindungan allah liat postingan palestine menitih air mata betapa hebat mental bertahan kekuatan doa ikhlasan lapang apapun berusaha selamat serangan ganas israel bukan agama manusiaan kepedulian muslim mari kirimkan doa doa terbaik slalu lindungan allah,liat postingan palestine menitih air mata betapa hebat mental bertahan kekuatan doa ikhlasan lapang apapun berusaha selamat serangan ganas israel bukan agama manusiaan kepedulian muslim mari kirimkan doa doa terbaik slalu lindungan allah liat postingan palestine menitih air mata betapa hebat mental bertahan kekuatan doa ikhlasan lapang apapun berusaha selamat serangan ganas israel bukan agama manusiaan kepedulian muslim mari kirimkan doa doa terbaik slalu lindungan allah
1-173,"aku udah gila nyari kesibukan, tapi selalu ada celah buat inget kamu lagi #abil #kisahbadut",Disabilitas,,0,0,0,0,0,0,0,0,0,"aku udah gila nyari kesibukan, tapi selalu ada celah buat inget kamu lagi",gila nyari kesibukan celah inget,gila nyari kesibukan celah inget
1-3431,"Pindahin aja negara Israel ke tanah Amerika yg masih luas Reposted @sketsadakwahh Mereka yang terjajah, tapi mereka yang dituduh bersalah :'(

Ya Allaah.. Berikanlah kekuatan & balasan terbaik dari sisi-Mu kepada rakyat Palestina, & tolonglah mereka dalam menghadapi kaum musyrikin

➖
Allaah yubaarik fiikum
Sahabat dakwahmu @sketsadakwahh
➖
#westandwithpalestine🇵🇸 #savegaza #savemuslims #palestinewillbefree #revivethesunnahthroughdakwah #sketsadakwahh Pindahin aja negara Israel ke tanah Amerika yg masih luas Reposted @sketsadakwahh Mereka yang terjajah, tapi mereka yang dituduh bersalah :'(

Ya Allaah.. Berikanlah kekuatan & balasan terbaik dari sisi-Mu kepada rakyat Palestina, & tolonglah mereka dalam menghadapi kaum musyrikin

➖
Allaah yubaarik fiikum
Sahabat dakwahmu @sketsadakwahh
➖
#westandwithpalestine🇵🇸 #savegaza #savemuslims #palestinewillbefree #revivethesunnahthroughdakwah #sketsadakwahh",Jewish,,0,0,1,1,1,0,0,0,1,"Pindahin aja negara Israel ke tanah Amerika yg masih luas Reposted Mereka yang terjajah, tapi mereka yang dituduh bersalah :'( Ya Allaah.. Berikanlah kekuatan & balasan terbaik dari sisi-Mu kepada rakyat Palestina, & tolonglah mereka dalam menghadapi kaum musyrikin Allaah yubaarik fiikum Sahabat dakwahmu Pindahin aja negara Israel ke tanah Amerika yg masih luas Reposted Mereka yang terjajah, tapi mereka yang dituduh bersalah :'( Ya Allaah.. Berikanlah kekuatan & balasan terbaik dari sisi-Mu kepada rakyat Palestina, & tolonglah mereka dalam menghadapi kaum musyrikin Allaah yubaarik fiikum Sahabat dakwahmu",pindahin negara israel tanah amerika luas reposted terjajah dituduh bersalah allaah berikanlah kekuatan balasan terbaik sisimu rakyat palestina tolonglah menghadapi kaum musyrikin allaah yubaarik fiikum sahabat dakwahmu pindahin negara israel tanah amerika luas reposted terjajah dituduh bersalah allaah berikanlah kekuatan balasan terbaik sisimu rakyat palestina tolonglah menghadapi kaum musyrikin allaah yubaarik fiikum sahabat dakwahmu,pindahin negara israel tanah amerika luas reposted terjajah dituduh bersalah allaah berikanlah kekuatan balasan terbaik sisimu rakyat palestina tolonglah menghadapi kaum musyrikin allaah yubaarik fiikum sahabat dakwahmu pindahin negara israel tanah amerika luas reposted terjajah dituduh bersalah allaah berikanlah kekuatan balasan terbaik sisimu rakyat palestina tolonglah menghadapi kaum musyrikin allaah yubaarik fiikum sahabat dakwahmu
2-3124,"Politik yg baik bkn yg LICIK, yg ikhlas bkn yg CULAS, Politik kebangsaan bkn KEBANGZATAN Politik beradab bkn BIADAB Politik yg mengantarkan kesejahteraan bkn yg hnya GILA KEKUASAAN Supaya Indonesia adil makmur sejahtera. @siticeriaselalu @SentaniREBORN #GanjarMahfud2024",Disabilitas,,0,1,1,1,0,0,1,1,0,"Politik yg baik bkn yg LICIK, yg ikhlas bkn yg CULAS, Politik kebangsaan bkn KEBANGZATAN Politik beradab bkn BIADAB Politik yg mengantarkan kesejahteraan bkn yg hnya GILA KEKUASAAN Supaya Indonesia adil makmur sejahtera.",politik bukan licik ikhlas bukan culas politik kebangsaan bukan kebangzatan politik beradab bukan biadab politik mengantarkan kesejahteraan bukan hnya gila kekuasaan indonesia adil makmur sejahtera,politik bukan licik ikhlas bukan culas politik kebangsaan bukan kebangzatan politik beradab bukan biadab politik mengantarkan kesejahteraan bukan hnya gila kekuasaan indonesia adil makmur sejahtera
2-4053,"Netanyahu: Israel Terbuka bagi Jeda Taktis untuk Pengiriman Bantuan, Pembebasan Sandera [beritaindo]",Jewish,,0,0,0,1,0,0,0,0,0,"Netanyahu: Israel Terbuka bagi Jeda Taktis untuk Pengiriman Bantuan, Pembebasan Sandera [beritaindo]",netanyahu israel terbuka jeda taktis pengiriman bantuan pembebasan sandera beritaindo,netanyahu israel terbuka jeda taktis pengiriman bantuan pembebasan sandera beritaindo
4-1232,"Akhir pekan lalu (7/1) Konsul Jenderal RI di Los Angeles, Purnomo A. Chandra bersama Ibu Runi Purnomo dan Konsul Pensosbud kembali menghadiri perayaan Natal Bersama  Komunitas Katholik di Gereja St. Joseph the Worker, Loma Linda, California bagian selatan.

Momentum tersebut sekaligus memperpisahkan Romo Adrianus Budhi, MSC yang telah mengabdi di Gereja St. Joseph the Worker selama 18 tahun. Konjen RI memberikan apresiasi kepada Romo Adrianus atas pelayanan selama ini khususnya kepada komunitas Katolik di Loma Linda dan sekitarnya.

Selain itu, Konjen RI juga menyampaikan imbauan agar di tahun pemilu ini, masyarakat tetap menjaga kekompakkan dan tidak saling membenci karena perbedaan pandangan dan pilihan politik.

Terima kasih atas dedikasi dan pengabdian Romo Adrianus, semoga selalu diberikan kesehatan dan kemudahan dalam penugasan di tempat yang baru.

#indonesianway #inidiplomasi Akhir pekan lalu (7/1) Konsul Jenderal RI di Los Angeles, Purnomo A. Chandra bersama Ibu Runi Purnomo dan Konsul Pensosbud kembali menghadiri perayaan Natal Bersama  Komunitas Katholik di Gereja St. Joseph the Worker, Loma Linda, California bagian selatan.

Momentum tersebut sekaligus memperpisahkan Romo Adrianus Budhi, MSC yang telah mengabdi di Gereja St. Joseph the Worker selama 18 tahun. Konjen RI memberikan apresiasi kepada Romo Adrianus atas pelayanan selama ini khususnya kepada komunitas Katolik di Loma Linda dan sekitarnya.

Selain itu, Konjen RI juga menyampaikan imbauan agar di tahun pemilu ini, masyarakat tetap menjaga kekompakkan dan tidak saling membenci karena perbedaan pandangan dan pilihan politik.

Terima kasih atas dedikasi dan pengabdian Romo Adrianus, semoga selalu diberikan kesehatan dan kemudahan dalam penugasan di tempat yang baru.

#indonesianway #inidiplomasi",Kristen,,0,0,0,0,0,0,0,0,0,"Akhir pekan lalu (7/1) Konsul Jenderal RI di Los Angeles, Purnomo A. Chandra bersama Ibu Runi Purnomo dan Konsul Pensosbud kembali menghadiri perayaan Natal Bersama Komunitas Katholik di Gereja St. Joseph the Worker, Loma Linda, California bagian selatan. Momentum tersebut sekaligus memperpisahkan Romo Adrianus Budhi, MSC yang telah mengabdi di Gereja St. Joseph the Worker selama 18 tahun. Konjen RI memberikan apresiasi kepada Romo Adrianus atas pelayanan selama ini khususnya kepada komunitas Katolik di Loma Linda dan sekitarnya. Selain itu, Konjen RI juga menyampaikan imbauan agar di tahun pemilu ini, masyarakat tetap menjaga kekompakkan dan tidak saling membenci karena perbedaan pandangan dan pilihan politik. Terima kasih atas dedikasi dan pengabdian Romo Adrianus, semoga selalu diberikan kesehatan dan kemudahan dalam penugasan di tempat yang baru. Akhir pekan lalu (7/1) Konsul Jenderal RI di Los Angeles, Purnomo A. Chandra bersama Ibu Runi Purnomo dan Konsul Pensosbud kembali menghadiri perayaan Natal Bersama Komunitas Katholik di Gereja St. Joseph the Worker, Loma Linda, California bagian selatan. Momentum tersebut sekaligus memperpisahkan Romo Adrianus Budhi, MSC yang telah mengabdi di Gereja St. Joseph the Worker selama 18 tahun. Konjen RI memberikan apresiasi kepada Romo Adrianus atas pelayanan selama ini khususnya kepada komunitas Katolik di Loma Linda dan sekitarnya. Selain itu, Konjen RI juga menyampaikan imbauan agar di tahun pemilu ini, masyarakat tetap menjaga kekompakkan dan tidak saling membenci karena perbedaan pandangan dan pilihan politik. Terima kasih atas dedikasi dan pengabdian Romo Adrianus, semoga selalu diberikan kesehatan dan kemudahan dalam penugasan di tempat yang baru.",pekan konsul jenderal los angeles purnomo chandra runi purnomo konsul pensosbud menghadiri perayaan natal komunitas katholik gereja joseph the worker loma linda california selatan momentum memperpisahkan romo adrianus budhi msc mengabdi gereja joseph the worker konjen apresiasi romo adrianus pelayanan komunitas katolik loma linda konjen imbauan pemilu masyarakat menjaga kekompakkan tidak membenci perbedaan pandangan pilihan politik terima kasih dedikasi pengabdian romo adrianus semoga kesehatan kemudahan penugasan pekan konsul jenderal los angeles purnomo chandra runi purnomo konsul pensosbud menghadiri perayaan natal komunitas katholik gereja joseph the worker loma linda california selatan momentum memperpisahkan romo adrianus budhi msc mengabdi gereja joseph the worker konjen apresiasi romo adrianus pelayanan komunitas katolik loma linda konjen imbauan pemilu masyarakat menjaga kekompakkan tidak membenci perbedaan pandangan pilihan politik terima kasih dedikasi pengabdian romo adrianus semoga kesehatan kemudahan penugasan,pekan konsul jenderal los angeles purnomo chandra runi purnomo konsul pensosbud menghadiri perayaan natal komunitas katholik gereja joseph the worker loma linda california selatan momentum memperpisahkan romo adrianus budhi msc mengabdi gereja joseph the worker konjen apresiasi romo adrianus pelayanan komunitas katolik loma linda konjen imbauan pemilu masyarakat menjaga kekompakkan tidak membenci perbedaan pandangan pilihan politik terima kasih dedikasi pengabdian romo adrianus semoga kesehatan kemudahan penugasan pekan konsul jenderal los angeles purnomo chandra runi purnomo konsul pensosbud menghadiri perayaan natal komunitas katholik gereja joseph the worker loma linda california selatan momentum memperpisahkan romo adrianus budhi msc mengabdi gereja joseph the worker konjen apresiasi romo adrianus pelayanan komunitas katolik loma linda konjen imbauan pemilu masyarakat menjaga kekompakkan tidak membenci perbedaan pandangan pilihan politik terima kasih dedikasi pengabdian romo adrianus semoga kesehatan kemudahan penugasan
1-1674,"Gara² China Ahok Dilarang Kibarin Bendera Merah Putih, Ahok : Anak Dengkul Loe
#beritaviral 
#ahok 
#ahokbtp 
#basukitjahajapurnama 
#beritaterkini 
#videoterbaru",Tionghoa,,0,0,1,1,0,0,1,0,0,"Gara China Ahok Dilarang Kibarin Bendera Merah Putih, Ahok : Anak Dengkul Loe",gara china ahok dilarang kibarin bendera merah putih ahok anak dengkul loe,gara china ahok dilarang kibarin bendera merah putih ahok anak dengkul loe
4-4411,"REST Read an and Share Them Literatur Perki kantas Jatim RIMA EIRILIS Pemuridan butuh waktu. Anda tidak bisa menjadi manusia dewasa dalam iman Kristen dalam waktu semalam. Rediscovering Discipleship, Robby Gallaty REDISCOVERING DISCIPLESHIP TSAC 11 12 12 1 Saat ini kita sedang hidup dalam budaya yang serba instan. Mulai dari makanan, minuman, transportasi, transaksi, dan banyak lagi. Namun, pemuridan tidak dapat mengikuti budaya ini. Untuk mengisi bangku-bangku kosong mungkin perlu waktu beberapa minggu.  Tetapi menjadikan murid yang dewasa iman adalah proses pertumbuhan seumur hidup. 

Menuju kedewasaan iman Kristen, bukanlah hal yang mudah. Perlu adanya komitmen jangka panjang untuk pemuridan, di tengah budaya yang menuntut hasil instan. Termasuk komitmen untuk saling menemani, mendoakan, memperhatikan, menolong dan haus akan firman dalam kelompok. 

Kedewasaan Iman Kristen seperti sedang menanam pohon. Ada kalanya berhenti bertumbuh, kemudian dipupuk dan makin bertumbuh. Daunnya gugur, dan bersemi kembali. Layu, ketika disiram segar kembali. Proses yang naik turun dan tidak tahu kapan berakhirnya.

Maka komunitas kristen memiliki peran penting dalam pertumbuhan dan kedewasaan iman. Bersyukur jika hari ini masih terlibat dalam pemuridan dan dalam komunitas Kristen yang aman.
.
.
.
Refleksi oleh @elisabet_cornilia 
#rimarilis #readandsharethem #literaturperkantasjatim #refleksirohani #renungankristen #BacaBelajarBagikan",Kristen,,0,0,0,0,0,0,0,0,0,"REST Read an and Share Them Literatur Perki kantas Jatim RIMA EIRILIS Pemuridan butuh waktu. Anda tidak bisa menjadi manusia dewasa dalam iman Kristen dalam waktu semalam. Rediscovering Discipleship, Robby Gallaty REDISCOVERING DISCIPLESHIP TSAC 11 12 12 1 Saat ini kita sedang hidup dalam budaya yang serba instan. Mulai dari makanan, minuman, transportasi, transaksi, dan banyak lagi. Namun, pemuridan tidak dapat mengikuti budaya ini. Untuk mengisi bangku-bangku kosong mungkin perlu waktu beberapa minggu. Tetapi menjadikan murid yang dewasa iman adalah proses pertumbuhan seumur hidup. Menuju kedewasaan iman Kristen, bukanlah hal yang mudah. Perlu adanya komitmen jangka panjang untuk pemuridan, di tengah budaya yang menuntut hasil instan. Termasuk komitmen untuk saling menemani, mendoakan, memperhatikan, menolong dan haus akan firman dalam kelompok. Kedewasaan Iman Kristen seperti sedang menanam pohon. Ada kalanya berhenti bertumbuh, kemudian dipupuk dan makin bertumbuh. Daunnya gugur, dan bersemi kembali. Layu, ketika disiram segar kembali. Proses yang naik turun dan tidak tahu kapan berakhirnya. Maka komunitas kristen memiliki peran penting dalam pertumbuhan dan kedewasaan iman. Bersyukur jika hari ini masih terlibat dalam pemuridan dan dalam komunitas Kristen yang aman. . . . Refleksi oleh",rest read and share them literatur perki kantas jatim rima eirilis pemuridan butuh tidak manusia dewasa iman kristen semalam rediscovering discipleship robby gallaty rediscovering discipleship tsac hidup budaya serba instan makanan minuman transportasi transaksi pemuridan tidak mengikuti budaya mengisi bangkubangku kosong minggu menjadikan murid dewasa iman proses pertumbuhan seumur hidup kedewasaan iman kristen mudah komitmen jangka pemuridan budaya menuntut hasil instan komitmen menemani mendoakan memperhatikan menolong haus firman kelompok kedewasaan iman kristen menanam pohon kalanya berhenti bertumbuh dipupuk bertumbuh daunnya gugur bersemi layu disiram segar proses turun tidak komunitas kristen memiliki peran pertumbuhan kedewasaan iman bersyukur terlibat pemuridan komunitas kristen aman refleksi,rest read and share them literatur perki kantas jatim rima eirilis pemuridan butuh tidak manusia dewasa iman kristen semalam rediscovering discipleship robby gallaty rediscovering discipleship tsac hidup budaya serba instan makanan minuman transportasi transaksi pemuridan tidak mengikuti budaya mengisi bangkubangku kosong minggu menjadikan murid dewasa iman proses pertumbuhan seumur hidup kedewasaan iman kristen mudah komitmen jangka pemuridan budaya menuntut hasil instan komitmen menemani mendoakan memperhatikan menolong haus firman kelompok kedewasaan iman kristen menanam pohon kalanya berhenti bertumbuh dipupuk bertumbuh daunnya gugur bersemi layu disiram segar proses turun tidak komunitas kristen memiliki peran pertumbuhan kedewasaan iman bersyukur terlibat pemuridan komunitas kristen aman refleksi
2-1008,capek bgt report and blocked org2 yang jahat pakai masalah palestine dan israel buat war fandom 😭💔 please bisa kesampingkan ini dulu gak?,Jewish,,0,0,0,0,0,0,0,0,0,capek bgt report and blocked org2 yang jahat pakai masalah palestine dan israel buat war fandom please bisa kesampingkan ini dulu gak?,capek banget report and blocked org jahat pakai palestine israel war fandom please kesampingkan gak,capek banget report and blocked org jahat pakai palestine israel war fandom please kesampingkan gak
